date,return_5d,return_10d,return_20d,dist_from_ma20,dist_from_ma50,volatility_10d,volume_ratio,consecutive_up
2021-05-03,0.001412816499806402,0.007201395029777569,0.02913686338041721,0.009858466421494464,0.047026876538586664,0.006924669730648943,1.01770063528332,1
2021-05-04,-0.0045505214548395845,0.008370459668944008,0.023392085285590225,0.0024784329534770456,0.03901422235162102,0.006783792175754699,1.474005275828993,0
2021-05-05,-0.003953133229333883,-0.0007691390080148963,0.022528712982839982,0.0016852327620735846,0.03780750287470867,0.006073735823325355,0.8701735141509758,1
2021-05-06,-0.002356751578330485,0.01649393988724479,0.025824918919208573,0.00840266825859503,0.044604572987282196,0.005628617259641625,1.062324938380025,2
2021-05-07,0.011550687510908153,0.012909920110382167,0.02583298593327532,0.014444544889974355,0.05005903705194236,0.005066790591782136,0.9635986976711896,3
2021-05-10,-0.0006217716977461318,0.0007901663527465352,0.015304557187515666,0.003639416858437298,0.03765682680963283,0.006159261193844502,1.1439901780456343,0
2021-05-11,-0.0033925450487262143,-0.007927628654535113,0.003269840164362492,-0.005479014657593945,0.02707500457731038,0.006791512075794003,1.5675616341945369,0
2021-05-12,-0.02487070616967646,-0.02872552218401392,-0.014679971382572932,-0.025901710768151936,0.004251725280028813,0.009369012538940283,1.723389861362809,0
2021-05-13,-0.020974956752284557,-0.02328227556818363,-0.013441733982976545,-0.013537779119542693,0.014801840523089539,0.010126406410196553,1.3211307281666178,1
2021-05-14,-0.01312428113925368,-0.0017251880985902357,-0.0016298175564388728,0.0016916084589984112,0.028293314734099802,0.011394872469868849,1.020621301677803,2
2021-05-17,-0.005790499409269789,-0.0064086707383673724,0.0007465729218074646,-0.0008945362017288859,0.024001261930011702,0.011387746774045056,0.8154168129418616,0
2021-05-18,-0.005480249110264124,-0.008854202167005498,-0.0005578562402011045,-0.009474922023885649,0.013607004747276488,0.011546216156278325,0.7592998367402901,0
2021-05-19,0.013443350909838836,-0.01176170089025208,-0.012521793515311574,-0.011452688688748972,0.009709579279755102,0.01155127148500991,1.3184142612050773,0
2021-05-20,0.01218681803347077,-0.009043756700013783,0.007301016007866146,-0.0011797349024485829,0.019220702745071604,0.011824185730901052,0.9780174770881548,1
2021-05-21,-0.003936756509833272,-0.017009370549875058,-0.004319040054419632,-0.0017813753751012833,0.017253078129027034,0.011478293886531295,0.9579000892495843,0
2021-05-24,0.008784383220860725,0.0029430178457396927,0.0037355096721634062,0.008205597301664874,0.026294993788643743,0.011632093328401432,0.6429798033429213,1
2021-05-25,0.015293491307116547,0.009729430054723709,0.0017246700916946356,0.005881646681900316,0.022859785077225993,0.01122380362238985,0.7162490955160035,0
2021-05-26,0.019982313088553028,0.033694293245231544,0.004000884893126999,0.0076752356121780226,0.02366508203192917,0.008060359412636674,0.5399305661065839,1
2021-05-27,0.009656130803139762,0.021960626345615797,-0.001832942576796448,0.008297648678692428,0.023036686834260914,0.007486535169104069,0.7204441856392283,2
2021-05-28,0.012290913941632509,0.008305771096327685,0.006566253980292203,0.00976857915930355,0.02337658262567201,0.005898470079575908,0.7564483218105268,3
2021-06-01,0.001192881902275289,0.009987743854902753,0.003515064954749958,0.008701013889534948,0.02097332097991475,0.005815169169445904,0.7071772557949584,0
2021-06-02,0.0049969789378765395,0.020366891498941442,0.011332356757090878,0.009715662141299864,0.02120047001734527,0.004733371564577693,0.6631024045229766,1
2021-06-03,-0.0007157597271005844,0.019252250826489403,0.007264110720551997,0.005603495813333437,0.01596550090536953,0.004863063128816879,0.7862934351054807,0
2021-06-04,0.007894318283745205,0.017626677656834344,0.00842350957266258,0.014370630125854099,0.023515175064588355,0.00455445347113335,0.7660624061188801,1
2021-06-07,0.005118542886193955,0.01747236839794697,0.00016580385960729416,0.013377987249496757,0.02091547339927633,0.004564219720357427,0.713936891468506,0
2021-06-08,0.006219061672783299,0.007419362181177114,0.010384215342220005,0.013066392140042538,0.019835975179097836,0.0034711805970402535,0.668795891274748,1
2021-06-09,0.0031403683554600548,0.008153039647865956,0.017961794131577058,0.010652974148401944,0.017043548763393885,0.0034093036545542093,0.7223500839438197,0
2021-06-10,0.011557734091749872,0.010833701804049856,0.04489302897479841,0.013141178122487497,0.020349754040768053,0.003608871700917151,0.8115919021039468,1
2021-06-11,0.00404629224926234,0.01197255325189217,0.034196104365875835,0.013115406866757905,0.020659906362604816,0.0036070782955148557,0.7617596355385974,2
2021-06-14,0.007271561589444087,0.012427324275483098,0.02083631388258267,0.014332635088322547,0.021733465588609953,0.003618081711618432,0.7324542591103738,3
2021-06-15,0.00520977769964448,0.011461239301243431,0.021563455078546623,0.011391479198690171,0.018972261589453584,0.003692028905606955,0.9012879817070482,0
2021-06-16,0.0010910927619478539,0.004234887550590427,0.024688030544784967,0.004527607084704385,0.012505844712058152,0.0042513379509402024,1.3817107385137253,0
2021-06-17,-0.003871346643186113,0.0076416434534847255,0.027041013116467116,0.0028688009914029115,0.011423893720286724,0.004013123297743083,1.5844121206272064,0
2021-06-18,-0.01893083745742108,-0.014961144909034774,0.002401817469110945,-0.010777863182495816,-0.0025918506696381055,0.005020663730021393,1.99672384404542,0
2021-06-21,-0.0071086564348133985,0.00011121412154668775,0.017585525693596393,0.0025149028232712123,0.011166545049286335,0.007096261921452595,1.2291115220977025,1
2021-06-22,3.371537419516457e-05,0.005243668723444284,0.012701935582038804,0.0072379002812194,0.015946959213523237,0.0072935841279185305,0.9687133245489231,2
2021-06-23,0.0044360933335212405,0.005532026284796654,0.013730168762295714,0.005338694527322283,0.014182237346659876,0.007285244530191774,0.8357408543147888,0
2021-06-24,0.010713170393945814,0.006800349354517232,0.017707724115637147,0.010397074393003126,0.019448327404329394,0.007374434558205525,0.7611671985183746,1
2021-06-25,0.028174103937278927,0.008709907097712577,0.02078674017615123,0.012940310361504694,0.022476284930269104,0.007425914879431775,0.9796711020493049,2
